Source,Target,Type,Weight
912,1574,Undirected,4
912,1529,Undirected,4
912,2490,Undirected,4
3279,20,Undirected,163
3279,2226,Undirected,19
3279,689,Undirected,8
3279,4437,Undirected,7
3279,661,Undirected,7
3279,6171,Undirected,6
3279,3179,Undirected,6
3279,4077,Undirected,5
3279,1807,Undirected,4
3279,5306,Undirected,4
3279,3418,Undirected,4
3279,6314,Undirected,4
3279,5627,Undirected,4
3279,5692,Undirected,4
3279,4419,Undirected,4
3279,2331,Undirected,4
3279,5864,Undirected,3
3279,950,Undirected,3
3279,3931,Undirected,3
3279,1664,Undirected,3
1613,689,Undirected,7
1613,1097,Undirected,6
1613,494,Undirected,4
1613,5747,Undirected,3
1613,661,Undirected,3
1613,5261,Undirected,3
1613,2876,Undirected,2
1613,5770,Undirected,2
1613,1644,Undirected,2
1613,6421,Undirected,2
1613,1141,Undirected,2
1613,3814,Undirected,2
1613,5705,Undirected,2
1613,5413,Undirected,2
1613,5864,Undirected,2
1613,5675,Undirected,2
1613,461,Undirected,2
1613,1555,Undirected,2
1613,1618,Undirected,2
1613,256,Undirected,2
2911,51,Undirected,25
2911,5581,Undirected,16
2911,511,Undirected,11
2911,1141,Undirected,9
2911,184,Undirected,7
2911,540,Undirected,7
2911,689,Undirected,7
2911,2047,Undirected,3
2911,606,Undirected,3
2911,5329,Undirected,3
2911,3542,Undirected,2
2911,3500,Undirected,2
2911,780,Undirected,2
2911,2576,Undirected,2
2911,4307,Undirected,2
2911,6426,Undirected,2
2911,5211,Undirected,2
2911,4395,Undirected,2
2911,4519,Undirected,2
2911,6222,Undirected,2
1310,3142,Undirected,49
1310,6253,Undirected,45
1310,815,Undirected,22
1310,6336,Undirected,19
1310,2647,Undirected,18
1310,4475,Undirected,17
1310,263,Undirected,15
1310,3943,Undirected,15
1310,2355,Undirected,14
1310,3777,Undirected,13
1310,2078,Undirected,13
1310,5324,Undirected,11
1310,5606,Undirected,11
1310,3791,Undirected,9
1310,743,Undirected,9
1310,5431,Undirected,9
1310,6311,Undirected,9
1310,2345,Undirected,9
1310,5936,Undirected,9
1310,2089,Undirected,8
1563,663,Undirected,41
1563,5446,Undirected,34
1563,3531,Undirected,27
1563,1868,Undirected,11
1563,3499,Undirected,9
1563,839,Undirected,8
1563,3553,Undirected,8
1563,1229,Undirected,8
1563,1454,Undirected,7
1563,6364,Undirected,6
1563,588,Undirected,6
1563,5735,Undirected,6
1563,405,Undirected,6
1563,689,Undirected,6
1563,1781,Undirected,5
1563,4469,Undirected,5
1563,2462,Undirected,5
1563,5832,Undirected,5
1563,5864,Undirected,5
1563,1787,Undirected,5
5747,4621,Undirected,47
5747,4319,Undirected,34
5747,2030,Undirected,25
5747,268,Undirected,21
5747,5437,Undirected,21
5747,3828,Undirected,12
5747,4930,Undirected,8
5747,6247,Undirected,7
5747,4099,Undirected,7
5747,3367,Undirected,7
5747,5419,Undirected,6
5747,403,Undirected,6
5747,1325,Undirected,6
5747,3589,Undirected,6
5747,184,Undirected,6
5747,421,Undirected,5
5747,1851,Undirected,5
5747,3909,Undirected,5
5747,6122,Undirected,5
5747,689,Undirected,5
4773,1668,Undirected,122
4773,3978,Undirected,39
4773,494,Undirected,17
4773,1483,Undirected,13
4773,4119,Undirected,5
4773,4077,Undirected,5
4773,6214,Undirected,5
4773,5329,Undirected,5
4773,689,Undirected,5
4773,1528,Undirected,4
4773,4445,Undirected,4
4773,5599,Undirected,4
4773,6473,Undirected,4
4773,3557,Undirected,4
4773,3683,Undirected,4
4773,921,Undirected,4
4773,4295,Undirected,4
4773,136,Undirected,4
4773,5795,Undirected,4
4773,1663,Undirected,3
234,4860,Undirected,54
234,4960,Undirected,37
234,2453,Undirected,26
234,1593,Undirected,26
234,5674,Undirected,19
234,3670,Undirected,11
234,4469,Undirected,10
234,5623,Undirected,9
234,3828,Undirected,6
234,4201,Undirected,6
234,510,Undirected,6
234,5283,Undirected,5
234,689,Undirected,5
234,1618,Undirected,5
234,970,Undirected,5
234,3758,Undirected,4
234,3909,Undirected,4
234,3438,Undirected,4
234,5747,Undirected,4
234,1141,Undirected,4
6340,211,Undirected,49
6340,2789,Undirected,17
6340,3293,Undirected,16
6340,2769,Undirected,7
6340,2257,Undirected,7
6340,689,Undirected,5
6340,3560,Undirected,4
6340,4519,Undirected,4
6340,1429,Undirected,4
6340,1555,Undirected,4
6340,3153,Undirected,3
6340,3116,Undirected,3
6340,2182,Undirected,3
6340,1171,Undirected,3
6340,4730,Undirected,3
6340,549,Undirected,3
6340,4281,Undirected,3
6340,5261,Undirected,3
6340,2602,Undirected,2
6340,67,Undirected,2
5577,922,Undirected,182
5577,3074,Undirected,22
5577,3582,Undirected,8
5577,3909,Undirected,7
5577,689,Undirected,5
5577,5419,Undirected,5
5577,950,Undirected,5
5577,3192,Undirected,5
5577,2569,Undirected,5
5577,5329,Undirected,5
5577,3424,Undirected,5
5577,4281,Undirected,4
5577,139,Undirected,4
5577,1327,Undirected,4
5577,3262,Undirected,4
5577,2602,Undirected,4
5577,1839,Undirected,4
5577,3996,Undirected,3
5577,5491,Undirected,3
5577,1591,Undirected,3
1974,3200,Undirected,17
1974,4345,Undirected,9
1974,3441,Undirected,7
1974,689,Undirected,5
1974,2295,Undirected,4
1974,3550,Undirected,4
1974,3376,Undirected,4
1974,1534,Undirected,4
1974,6142,Undirected,4
1974,2429,Undirected,3
1974,2768,Undirected,3
1974,6140,Undirected,3
1974,1042,Undirected,3
1974,3090,Undirected,3
1974,2440,Undirected,3
1974,3418,Undirected,3
1974,741,Undirected,3
1974,4975,Undirected,3
1974,4958,Undirected,3
1974,1429,Undirected,3
4308,5701,Undirected,46
4308,3116,Undirected,45
4308,3565,Undirected,9
4308,1210,Undirected,8
4308,2731,Undirected,6
4308,2524,Undirected,6
4308,3424,Undirected,6
4308,2877,Undirected,6
4308,5408,Undirected,6
4308,4288,Undirected,6
4308,6121,Undirected,6
4308,5573,Undirected,6
4308,3897,Undirected,6
4308,1555,Undirected,6
4308,664,Undirected,5
4308,3226,Undirected,5
4308,4445,Undirected,5
4308,5429,Undirected,4
4308,4492,Undirected,4
4308,5422,Undirected,4
3495,4960,Undirected,52
3495,4833,Undirected,44
3495,4062,Undirected,42
3495,4281,Undirected,38
3495,5818,Undirected,18
3495,4925,Undirected,12
3495,3808,Undirected,11
3495,1005,Undirected,10
3495,653,Undirected,9
3495,1316,Undirected,7
3495,1138,Undirected,5
3495,5599,Undirected,4
3495,644,Undirected,4
3495,623,Undirected,4
3495,4315,Undirected,3
3495,4928,Undirected,3
3495,5031,Undirected,3
3495,5989,Undirected,3
3495,2821,Undirected,3
3495,963,Undirected,3
3984,3670,Undirected,58
3984,4960,Undirected,35
3984,4845,Undirected,33
3984,4722,Undirected,24
3984,794,Undirected,16
3984,3996,Undirected,14
3984,2121,Undirected,9
3984,4099,Undirected,7
3984,2569,Undirected,6
