id,map,result,playtime,roundsPlayed,roundsWon,roundsLost,roundsDisconnected,placement,score,kills,deaths,assists,damage,damageReceived,headshots,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,dealtLegshots,econRating,suicides,revived,firstBloods,firstDeaths,lastDeaths,survived,traded,kasted,kAST,flawless,thrifty,antiEco,totalThrifty,totalAntiEco,manAdvantage,manDisadvantage,aces,teamAces,clutches,clutchesLost,plants,defuses,kdRatio,scorePerRound,damagePerRound,headshotsPercentage,damageDelta,damageDeltaPerRound,rank,trnPerformanceScore,player
24c10c1e-846b-4d9f-8b69-b445db750b2a,/Game/Maps/Pitt/Pitt,victory,1999,22,13,9,0,1,6337,25,14,3,3798,2604,17,14.0,21.0,36.0,2.0,17,24,5,70,0,0,2,2,2,8,5,,77.0,2,7,,,,,,0,0,,2.0,1,0,1.7857142857142858,288.04545454545456,172.63636363636363,36.95652173913043,1194,54.27272727272727,,855,verkozz%23ak74
471b4eb6-6f91-4b75-8274-0b64088592ad,/Game/Maps/Duality/Duality,victory,2094,23,13,10,0,1,7373,24,16,3,4753,3099,17,13.0,12.0,29.0,3.0,18,37,4,86,0,1,3,3,6,7,2,,78.0,1,7,,,,,,0,1,,6.0,0,0,1.5,320.5652173913044,206.65217391304347,30.508474576271187,1654,71.91304347826087,,881,verkozz%23ak74
adfcc631-5a4a-4223-b4ca-12b311ffc6fe,/Game/Maps/Juliett/Juliett,victory,2321,26,14,12,0,9,4105,15,19,6,2808,3443,11,20.0,4.0,7.0,4.0,12,33,6,38,0,0,3,3,3,7,3,,81.0,2,6,,,,,,0,0,1.0,3.0,0,0,0.7894736842105263,157.8846153846154,108.0,23.52941176470588,-635,-24.423076923076923,,527,verkozz%23ak74
847b5a71-fd1f-44c7-9fee-ddd28ab44013,/Game/Maps/Juliett/Juliett,defeat,2023,24,11,13,0,5,5297,20,18,5,3789,3315,18,7.0,4.0,41.0,3.0,18,29,1,66,0,0,1,2,1,9,4,,67.0,1,4,,,,,,0,0,1.0,1.0,0,0,1.1111111111111112,220.70833333333334,157.875,37.5,474,19.75,,553,verkozz%23ak74
7d784beb-81b1-4455-92d0-7137ec788bf7,/Game/Maps/Duality/Duality,defeat,1748,20,7,13,0,4,4732,15,19,4,2899,3169,10,1.0,3.0,17.0,3.0,12,24,3,54,0,0,3,2,2,1,5,,75.0,1,4,,,,,,0,0,,2.0,0,0,0.7894736842105263,236.6,144.95,30.76923076923077,-270,-13.5,,549,verkozz%23ak74
ca16eb53-3460-4392-acf8-e268d4cac3b4,/Game/Maps/Triad/Triad,defeat,2279,24,11,13,0,2,6723,25,21,4,4519,3772,22,7.0,3.0,62.0,4.0,23,24,3,75,0,0,5,4,1,8,6,,71.0,0,6,,,,,,0,0,,2.0,1,2,1.1904761904761905,280.125,188.29166666666666,46.0,747,31.125,,696,verkozz%23ak74
706af579-b422-41d5-aeff-fd1f96d7d524,/Game/Maps/Ascent/Ascent,defeat,1847,22,9,13,1,10,2967,11,17,3,2168,3123,5,11.0,3.0,4.0,1.0,5,37,10,37,0,1,1,4,2,4,4,,55.0,0,3,,,,,,0,0,,2.0,1,0,0.6470588235294118,134.86363636363637,98.54545454545455,9.615384615384617,-955,-43.40909090909091,,198,verkozz%23ak74
79019916-7451-495c-9438-c981d6c4f3fd,/Game/Maps/Bonsai/Bonsai,victory,1798,18,13,5,0,5,3849,14,13,2,2491,2420,9,1.0,5.0,18.0,2.0,9,19,1,53,0,0,2,2,1,5,3,,72.0,2,4,,,,,,0,0,,1.0,0,0,1.0769230769230769,213.83333333333334,138.38888888888889,31.03448275862069,71,3.9444444444444446,,633,verkozz%23ak74
f72a7df4-60b1-408a-b4b4-9db2962551b3,/Game/Maps/Juliett/Juliett,victory,2370,24,13,11,0,5,4841,15,20,4,3298,3539,10,1.0,7.0,19.0,4.0,11,45,4,47,0,0,5,3,2,4,3,,67.0,1,5,,,,,,0,0,,2.0,0,0,0.75,201.70833333333334,137.41666666666666,18.333333333333332,-241,-10.041666666666666,,493,verkozz%23ak74
8f8fd757-d3a1-4d11-ae3e-5ce3494545da,/Game/Maps/Duality/Duality,victory,2265,23,13,10,0,3,5273,18,15,3,3276,3041,12,17.0,10.0,52.0,3.0,13,57,19,55,0,0,1,1,2,8,2,,83.0,3,3,,,,,,0,0,1.0,2.0,5,0,1.2,229.2608695652174,142.43478260869566,14.606741573033707,235,10.217391304347826,,753,verkozz%23ak74
